city,lat,lng,country,iso2,iso3,admin_name,capital,population
Malisheve,"42,4822","20,7458",Kosovo,XK,XKS,Malishevë,admin,
Prizren,"42,2139","20,7397",Kosovo,XK,XKS,Prizren,admin,
Zubin Potok,"42,9144","20,6897",Kosovo,XK,XKS,Zubin Potok,admin,
Kamenice,"42,5781","21,5803",Kosovo,XK,XKS,Kamenicë,admin,
Viti,"42,3214","21,3583",Kosovo,XK,XKS,Viti,admin,
Shterpce,"42,2394","21,0272",Kosovo,XK,XKS,Shtërpcë,admin,
Shtime,"42,4331","21,0397",Kosovo,XK,XKS,Shtime,admin,
Vushtrri,"42,8231","20,9675",Kosovo,XK,XKS,Vushtrri,admin,
Dragash,"42,0265","20,6533",Kosovo,XK,XKS,Dragash,admin,
Podujeve,"42,9111","21,1899",Kosovo,XK,XKS,Podujevë,admin,
Fushe Kosove,"42,6639","21,0961",Kosovo,XK,XKS,Fushë Kosovë,admin,
Kacanik,"42,2319","21,2594",Kosovo,XK,XKS,Kaçanik,admin,
Kline,"42,6217","20,5778",Kosovo,XK,XKS,Klinë,admin,
Leposaviq,"43,1039","20,8028",Kosovo,XK,XKS,Leposaviq,admin,
Peje,"42,66","20,2922",Kosovo,XK,XKS,Pejë,admin,
Rahovec,"42,3994","20,6547",Kosovo,XK,XKS,Rahovec,admin,
Gjilan,"42,4689","21,4633",Kosovo,XK,XKS,Gjilan,admin,
Lipjan,"42,5217","21,1258",Kosovo,XK,XKS,Lipjan,admin,
Obiliq,"42,6869","21,0703",Kosovo,XK,XKS,Obiliq,admin,
Gjakove,"42,3803","20,4308",Kosovo,XK,XKS,Gjakovë,admin,
Pristina,"42,6666","21,1724",Kosovo,XK,XKS,Prishtinë,primary,
Decan,"42,5378","20,2911",Kosovo,XK,XKS,Deçan,admin,
Istog,"42,7808","20,4875",Kosovo,XK,XKS,Istog,admin,
Hani i Elezit,"42,15","21,2967",Kosovo,XK,XKS,Hani i Elezit,admin,
Junik,"42,4758","20,2772",Kosovo,XK,XKS,Junik,admin,
Kllokot,"42,3714","21,3744",Kosovo,XK,XKS,Kllokot,admin,
Mamushe,"42,3308","20,7269",Kosovo,XK,XKS,Mamushë,admin,
Partesh,"42,4019","21,4336",Kosovo,XK,XKS,Partesh,admin,
Ranillug,"42,4922","21,5989",Kosovo,XK,XKS,Ranillug,admin,
Ferizaj,"42,3706","21,1553",Kosovo,XK,XKS,Ferizaj,admin,
Zvecan,"42,9075","20,8403",Kosovo,XK,XKS,Zveçan,admin,
Suhareke,"42,3586","20,825",Kosovo,XK,XKS,Suharekë,admin,
Gllogovc,"42,6283","20,8939",Kosovo,XK,XKS,Gllogovc,admin,
Mitrovice,"42,8833","20,8667",Kosovo,XK,XKS,,admin,
Skenderaj,"42,7467","20,7886",Kosovo,XK,XKS,Skenderaj ,admin,
Novoberde,"42,6178","21,4197",Kosovo,XK,XKS,Novobërdë,admin,
Gracanice,"42,6011","21,1958",Kosovo,XK,XKS,Graçanicë,admin,
Longyearbyen,"78,2167","15,6333",Svalbard,XR,XSV,,primary,
Al Quds,"31,7764","35,2269",West Bank,XW,XWB,,primary,
Sanaa,"15,3547","44,2066",Yemen,YE,YEM,Amānat al ‘Āşimah,primary,2008000
Marib,"15,421","45,334",Yemen,YE,YEM,Ma’rib,admin,16794
Al Jabin,"14,704","43,599",Yemen,YE,YEM,Raymah,admin,
Hajjah,"15,6917","43,6021",Yemen,YE,YEM,Ḩajjah,admin,208287
Ibb,"13,9759","44,1709",Yemen,YE,YEM,Ibb,admin,234837
Al Hudaydah,"14,7979","42,953",Yemen,YE,YEM,Al Ḩudaydah,admin,780000
Lahij,"13,0582","44,8838",Yemen,YE,YEM,Laḩij,admin,66288
Al Mahwit,"15,4701","43,5448",Yemen,YE,YEM,Al Maḩwīt,admin,
Taizz,"13,6045","44,0394",Yemen,YE,YEM,Ta‘izz,admin,751000
Sadah,"16,9398","43,8498",Yemen,YE,YEM,Şa‘dah,admin,105542
Dhamar,"14,5575","44,3875",Yemen,YE,YEM,Dhamār,admin,191259
`Amran,"15,6594","43,9439",Yemen,YE,YEM,‘Amrān,admin,
Ad Dali`,"13,6957","44,7314",Yemen,YE,YEM,Aḑ Ḑāli‘,admin,
Saywun,"15,943","48,7873",Yemen,YE,YEM,Ḩaḑramawt,minor,68747
Al Bayda,"13,979","45,574",Yemen,YE,YEM,Al Bayḑā’,admin,37821
Zinjibar,"13,1287","45,3807",Yemen,YE,YEM,Abyan,admin,
Rida,"14,4295","44,8341",Yemen,YE,YEM,Al Bayḑā’,minor,45233
'Ataq,"14,55","46,8",Yemen,YE,YEM,Shabwah,admin,37315
Al Ghaydah,"16,2394","52,1638",Yemen,YE,YEM,Al Mahrah,admin,27404
Sayhut,"15,2105","51,2454",Yemen,YE,YEM,Al Mahrah,minor,189
Al Mukalla,"14,5412","49,1259",Yemen,YE,YEM,Ḩaḑramawt,admin,258132
Al Hazm,"16,1641","44,7769",Yemen,YE,YEM,Al Jawf,admin,
Zabid,"14,1951","43,3155",Yemen,YE,YEM,Al Ḩudaydah,minor,152504
Aden,1.1900,"45,0095",Yemen,YE,YEM,‘Adan,admin,1000000
